Product, ActualWeek, ForecastWeek, OrderAmount, WeeksBeforeDelivery
Product 1,1,1,720,0
Product 1,1,2,690,1
Product 1,1,3,990,2
Product 1,1,4,610,3
Product 1,1,5,850,4
Product 1,1,6,591,5
Product 1,1,7,783,6
Product 1,1,8,632,7
Product 1,1,9,671,8
Product 1,1,10,593,9
Product 1,2,2,618,0
Product 1,2,3,883,1
Product 1,2,4,691,2
Product 1,2,5,991,3
Product 1,2,6,664,4
Product 1,2,7,820,5
Product 1,2,8,790,6
Product 1,2,9,658,7
Product 1,2,10,591,8
Product 1,3,3,692,0
Product 1,3,4,599,1
Product 1,3,5,893,2
Product 1,3,6,891,3
Product 1,3,7,882,4
Product 1,3,8,710,5
Product 1,3,9,733,6
Product 1,3,10,599,7
Product 1,4,4,410,0
Product 1,4,5,895,1
Product 1,4,6,795,2
Product 1,4,7,1140,3
Product 1,4,8,789,4
Product 1,4,9,797,5
Product 1,4,10,591,6
Product 1,5,5,698,0
Product 1,5,6,793,1
Product 1,5,7,991,2
Product 1,5,8,980,3
Product 1,5,9,795,4
Product 1,5,10,691,5
Product 1,6,6,599,0
Product 1,6,7,997,1
Product 1,6,8,915,2
Product 1,6,9,991,3
Product 1,6,10,610,4
Product 1,7,7,681,0
Product 1,7,8,697,1
Product 1,7,9,891,2
Product 1,7,10,792,3
Product 1,8,8,676,0
Product 1,8,9,767,1
Product 1,8,10,792,2
Product 1,9,9,683,0
Product 1,9,10,692,1
Product 1,10,10,592,0
