Product, ActualWeek, ForecastWeek, OrderAmount, WeeksBeforeDelivery
Product 1,10,9,10000,0
Product 1,10,9,10000,1
Product 1,10,9,10000,2
Product 1,10,9,10000,3
Product 1,10,9,10000,4
Product 1,10,9,10000,5
Product 1,10,9,10000,6
Product 1,10,9,10000,7
Product 1,10,9,10000,8
Product 1,10,10,10000,9
Product 1,10,2,10000,0
Product 1,10,3,10000,1
Product 1,2,4,10000,2
Product 1,2,5,10000,3
Product 1,2,6,10000,4
Product 1,2,7,10000,5
Product 1,2,8,10000,6
Product 1,2,9,10000,7
Product 1,2,10,10000,8
Product 1,3,3,10000,0
Product 1,3,4,10000,1
Product 1,3,5,10000,2
Product 1,3,6,10000,3
Product 1,3,7,10000,4
Product 1,3,8,10000,5
Product 1,3,9,10000,6
Product 1,3,10,10000,7
Product 1,4,4,10000,0
Product 1,4,5,10000,1
Product 1,4,6,10000,2
Product 1,4,7,10000,3
Product 1,4,8,10000,4
Product 1,4,9,10000,5
Product 1,4,10,10000,6
Product 1,5,5,10000,0
Product 1,5,6,10000,1
Product 1,5,7,10000,2
Product 1,5,8,10000,3
Product 1,5,9,10000,4
Product 1,5,10,10000,5
Product 1,6,6,10000,0
Product 1,6,7,10000,1
Product 1,6,8,10000,2
Product 1,6,9,847,3
Product 1,6,10,563,4
Product 1,7,7,620,0
Product 1,7,8,695,1
Product 1,7,9,781,2
Product 1,7,10,675,3
Product 1,8,8,560,0
Product 1,8,9,693,1
Product 1,8,10,630,2
Product 1,9,9,550,0
Product 1,9,10,585,1
Product 1,10,10,450,"	0"
