Product, ActualPeriod, ForecastPeriod, OrderAmount
Product 1,1,10,651
Product 1,2,10,645
Product 1,2,11,546
Product 1,3,10,639
Product 1,3,11,541
Product 1,3,12,578
Product 1,4,10,644.8
Product 1,4,11,535.6
Product 1,4,12,572
Product 1,4,13,388.5
Product 1,5,10,768.8
Product 1,5,11,540.8
Product 1,5,12,566.5
Product 1,5,13,384.8
Product 1,5,14,619.5
Product 1,6,10,799.8
Product 1,6,11,644.8
Product 1,6,12,572
Product 1,6,13,381.1
Product 1,6,14,613.6
Product 1,6,15,493.5
Product 1,7,10,880.4
Product 1,7,11,670.8
Product 1,7,12,682
Product 1,7,13,384.8
Product 1,7,14,607.7
Product 1,7,15,488.8
Product 1,7,16,651
Product 1,8,10,917.6
Product 1,8,11,738.4
Product 1,8,12,709.5
Product 1,8,13,458.8
Product 1,8,14,613.6
Product 1,8,15,484.1
Product 1,8,16,644.8
Product 1,8,17,588
Product 1,9,10,762.6
Product 1,9,11,769.6
Product 1,9,12,781
Product 1,9,13,477.3
Product 1,9,14,731.6
Product 1,9,15,488.8
Product 1,9,16,638.6
Product 1,9,17,582.4
Product 1,9,18,577.5
Product 1,10,10,620
Product 1,10,11,639.6
Product 1,10,12,814
Product 1,10,13,525.4
Product 1,10,14,761.1
Product 1,10,15,582.8
Product 1,10,16,644.8
Product 1,10,17,576.8
Product 1,10,18,572
Product 1,10,19,472.5
Product 1,11,11,520
Product 1,11,12,676.5
Product 1,11,13,547.6
Product 1,11,14,837.8
Product 1,11,15,606.3
Product 1,11,16,768.8
Product 1,11,17,582.4
Product 1,11,18,566.5
Product 1,11,19,468
Product 1,12,12,550
Product 1,12,13,455.1
Product 1,12,14,873.2
Product 1,12,15,667.4
Product 1,12,16,799.8
Product 1,12,17,694.4
Product 1,12,18,572
Product 1,12,19,463.5
Product 1,13,13,370
Product 1,13,14,725.7
Product 1,13,15,695.6
Product 1,13,16,880.4
Product 1,13,17,722.4
Product 1,13,18,682
Product 1,13,19,468
Product 1,14,14,590
Product 1,14,15,578.1
Product 1,14,16,917.6
Product 1,14,17,795.2
Product 1,14,18,709.5
Product 1,14,19,558
Product 1,15,15,470
Product 1,15,16,762.6
Product 1,15,17,828.8
Product 1,15,18,781
Product 1,15,19,580.5
Product 1,16,16,620
Product 1,16,17,688.8
Product 1,16,18,814
Product 1,16,19,639
Product 1,17,17,560
Product 1,17,18,676.5
Product 1,17,19,666
Product 1,18,18,550
Product 1,18,19,553.5
Product 1,19,19,450
