sep=;,,,,
Product,ActualPeriod,ForecastPeriod,OrderAmount,PeriodsBeforeDelivery
P13316,2,2,205,0
P13316,3,3,809,0
P13316,4,4,0,0
P13316,5,5,312,0
P13316,5,6,244,1
P13316,5,7,244,2
P13316,5,8,244,3
P13316,5,9,244,4
P13316,5,10,244,5
P13316,5,11,244,6
P13316,5,12,244,7
P13316,5,1,244,8
P13316,5,2,244,9
P13316,5,3,244,10
P13316,5,4,244,11
P13316,6,6,284,0
P13316,7,7,659,0
P13316,8,8,338,0
P13316,8,9,404,1
P13316,8,10,404,2
P13316,8,11,404,3
P13316,8,12,404,4
P13316,8,1,404,5
P13316,8,2,404,6
P13316,8,3,404,7
P13316,8,4,404,8
P13316,8,5,404,9
P13316,8,6,404,10
P13316,8,7,404,11
P13316,9,9,615,0
P13316,9,10,404,1
P13316,9,11,404,2
P13316,9,12,404,3
P13316,9,1,404,4
P13316,9,2,404,5
P13316,9,3,404,6
P13316,9,4,404,7
P13316,9,5,404,8
P13316,9,6,404,9
P13316,9,7,404,10
P13316,9,8,404,11
P13316,10,10,264,0
P13316,10,11,404,1
P13316,10,12,404,2
P13316,10,1,404,3
P13316,10,2,404,4
P13316,10,3,404,5
P13316,10,4,404,6
P13316,10,5,404,7
P13316,10,6,404,8
P13316,10,7,404,9
P13316,10,8,404,10
P13316,10,9,404,11
P13316,11,11,31,0
P13316,11,12,404,1
P13316,11,1,404,2
P13316,11,2,404,3
P13316,11,3,404,4
P13316,11,4,404,5
P13316,11,5,404,6
P13316,11,6,404,7
P13316,11,7,404,8
P13316,11,8,404,9
P13316,11,9,404,10
P13316,11,10,404,11
P13316,12,12,132,0
